rank,scene_title_en,film,film_code,description_en,confidence
68,"Harry and Dumbledore in the office","Order of the Phoenix",OOTP,"Post-Sirius conversation in Dumbledore's office; replaces the book's scene where Harry wrecks the office in grief.",high
67,"Yaxley visits the Grangers' house","Deathly Hallows Part 1",DH1,"Death Eater / Ministry worker Yaxley arrives at the Granger family home.",high
66,"Hagrid and the bird","Half-Blood Prince",HBP,"Hagrid tries to shoot down a bird; the Whomping Willow kills it.",high
65,"The enchanted Bludger","Chamber of Secrets",COS,"Alternate/extended CGI shot of the rogue Bludger chasing Harry.",high
64,"Snape scolds Harry","Philosopher's Stone",PS,"Extended version of Snape's first classroom confrontation with Harry.",high
63,"Petunia cracking an egg","Philosopher's Stone",PS,"A Hogwarts letter comes out of an egg Petunia cracks.",high
62,"Karkaroff's arm","Goblet of Fire",GOF,"Karkaroff shows the Dark Mark on his arm; includes Ron's reaction.",high
61,"Ginny smiles at Harry","Half-Blood Prince",HBP,"Brief romantic look between Ginny and Harry.",high
60,"The rabbit hunt","Deathly Hallows Part 1",DH1,"Ron and Harry hunt a rabbit and end up casting spells at each other.",high
59,"Trelawney at the feast","Prisoner of Azkaban",POA,"Long scene of Trelawney eating chaotically in the Great Hall.",high
58,"Alternate Aberforth scene","Deathly Hallows Part 2",DH2,"Seated alternate take of the Aberforth conversation, later reshot standing.",high
57,"Filch blows Umbridge's hair","Order of the Phoenix",OOTP,"Comic beat between Filch and Umbridge after the twins' departure.",high
56,"The Vanishing Cabinet","Half-Blood Prince",HBP,"Harry and Dumbledore outside the school; Harry says he isn't worried because he's with Dumbledore.",high
55,"Escaping Nagini","Deathly Hallows Part 1",DH1,"Harry and Hermione running from Nagini at Godric's Hollow (no finished CGI).",high
54,"Harry asks Cho to the ball","Goblet of Fire",GOF,"Harry attempts to invite Cho to the Yule Ball.",high
53,"Gilderoy Lockhart's test","Chamber of Secrets",COS,"Lockhart makes the class take a quiz about his favourite colour and Best Smile awards.",high
52,"Harry meets Colin Creevey (extended)","Chamber of Secrets",COS,"Longer version of Harry's first meeting with Colin.",high
51,"The flying cake (extended)","Philosopher's Stone",PS,"Extended version including the Dursleys' reactions to the levitating cake.",high
50,"Dudley's old uniform","Philosopher's Stone",PS,"Harry gets Dudley's boiled hand-me-down uniform while Dudley is photographed in new clothes.",high
49,"Harry tells Ron about the Chamber","Chamber of Secrets",COS,"Harry tells Ron he believes Hagrid opened the Chamber of Secrets.",high
48,"Harry runs into Hagrid","Chamber of Secrets",COS,"Right after the diary vision, Harry meets Hagrid carrying a rooster and is frightened.",high
47,"Hermione and the Marauder's Map","Half-Blood Prince",HBP,"Harry and Hermione argue about the map and Draco disappearing from Hogwarts.",high
46,"Harry and Dumbledore arrive at the Cave","Half-Blood Prince",HBP,"Includes the knife moment and a mention of Regulus Black.",high
45,"Harry and Dumbledore leave the Cave","Half-Blood Prince",HBP,"A weakened Dumbledore says he isn't worried because he's with Harry.",high
44,"Harry packing to leave Hogwarts","Order of the Phoenix",OOTP,"Ron and Hermione quietly worry about Harry after Sirius's death.",high
43,"Yule Ball invitations","Goblet of Fire",GOF,"Durmstrang students asking Hogwarts students to the ball.",high
42,"Filch and the Slytherins in the dungeons","Deathly Hallows Part 2",DH2,"Filch escorting the Slytherin students down to the dungeons during the evacuation of Hogwarts.",high
41,"Throwing stones","Deathly Hallows Part 1",DH1,"Ron and Hermione share a quiet moment skipping/throwing stones.",high
40,"Bill's warning","Deathly Hallows Part 1",DH1,"Bill Weasley warns Harry, Ron and Hermione at Shell Cottage.",high
39,"Hagrid and Harry on the Underground","Philosopher's Stone",PS,"Hagrid and Harry ride the London tube; Hagrid talks about wanting a dragon.",high
38,"The Inquisitorial Squad","Order of the Phoenix",OOTP,"Umbridge watches students bully a younger boy and considers recruiting them.",high
